station_id,route_key,mp,role,reason,site,station_type,on,at,shs_offset_m,lat,lon
00250,91,78.929,pulled,,00250,P,US 91 MAIN,"US-91  0.4 Mi. W of Yellowstone Ave, Pocatello",0.7,42.9058559929343,-112.459559285797
00005,91,83.42,pulled,,00005,P,US 91 MAIN,US-91  3.7 Mi. N of Jct I-86,1.2,42.9665636381499,-112.464356857827
00326,91,119.88,skip,next to 00005,00326,P,US 91 MAIN,US-91 .1 Mi. S of SR Valley Canal,1.2,43.4063037713117,-112.104235939351
00192,93,16.273,skip,next to 00029,00192,W,US 93 MAIN,US-93  1 Mi. S of Rogerson Rd,1.2,42.2040663072665,-114.605062868503
00029,93,17.246,pulled,,00029,P,US 93 MAIN,US-93  0.03 Mi. S of Rogerson Rd,1.2,42.2153279268927,-114.593668489551
00303,93,50.818,pulled,,00303,P,US 93 MAIN,US-93  0.3 Mi. N of Golf Course Rd,1.1,42.6126325747274,-114.451019056724
00129,93,59.713,skip,co-located with 00092,00092,P,US 93 MAIN,US-93  1.2 Mi. N of Jct SH-25,1.2,42.7406960064199,-114.43746679089
00092,93,59.727,skip,between 00303 and 00324,00092,P,US 93 MAIN,US-93  1.1 Mi. N of Jct SH-25,1.2,42.7408994974723,-114.437398744538
00324,93,105.45,pulled,,00324,W,US 93 MAIN,6.23 MI. S of Jct. US-20  Carey,1.0,43.2346991437695,-113.990189895404
00050,93,136.861,skip,between 00324 and 00055,00050,P,US 93 MAIN,US-93  150 Ft. NE of Craters of the Moon Natl Monument,1.2,43.4636291499125,-113.560354214266
00055,93,202.164,pulled,,00055,P,US 93 MAIN,"US-93  20.1 Mi. N of Main St, Mackay",0.4,44.1139600857735,-113.885320717139
00013,93,290.638,skip,between 00055 and 00158,00013,P,US 93 MAIN,US-93  3.1 Mi. S of Jct SH-28,1.0,45.1290425895684,-113.893032699344
00158,93,327.032,pulled,,00158,P,US 93 MAIN,US-93  0.8 Mi. N of Dahlonega Cr. Rd,0.3,45.554733595572,-113.940286955108
00038,95,20.456,skip,next to 00137,00038,P,US 95 MAIN,US-95  3.6 Mi. S of Jct SH-55,1.2,43.4948196356597,-116.861044433581
00138,95,20.456,skip,co-located with 00038,00038,W,US 95 MAIN,US-95  3.6 Mi. S of Jct SH-55,1.2,43.4948196356597,-116.861044433581
00137,95,34.316,pulled,,00137,W,US 95 MAIN,US-95  1.4 Mi. S of Jct SH-19,1.1,43.6490719635294,-116.911786914637
00111,95,53.235,skip,between 00137 and 00168,00111,P,US 95 MAIN,US-95  2.4 Mi. N of Jct US-20,1.2,43.9061677373026,-116.942875176815
00169,95,53.235,skip,co-located with 00111,00111,W,US 95 MAIN,US-95  2.4 Mi. N of Jct US-20,1.2,43.9061677373026,-116.942875176815
00168,95,58.811,pulled,,00168,P,US 95 MAIN,US-95  intersection of NW 1st Ave & US-95,1.1,43.9818560287252,-116.913997891915
00167,95,63.752,skip,between 00168 and 00044,00167,P,US 95 MAIN,US-95  0.4 Mi. N of Killebrew Dr,1.1,44.0492389025206,-116.925698307419
00044,95,75.0,pulled,,00044,P,US 95 MAIN,US-95  3.8 Mi. S of E Main St,0.4,44.1993884233446,-116.921378692546
00144,95,80.925,skip,between 00044 and 00088,00144,P,US 95 MAIN,US-95  1.1 Mi. N of Indian Head Rd,1.2,44.2725072389359,-116.943555301121
00088,95,123.126,pulled,,00088,P,US 95 MAIN,US-95  4 Mi. N of Indian Valley Rd,0.4,44.632470169431,-116.446242418467
00135,95,123.126,skip,co-located with 00088,00088,W,US 95 MAIN,US-95 4 Mi. N of Indian Valley Rd,0.4,44.632470169431,-116.446242418467
00023,95,135.095,skip,between 00088 and 00150,00023,P,US 95 MAIN,US-95  4.8 Mi. N of Illinois Ave,1.0,44.7956307288549,-116.425052678664
00150,95,183.151,pulled,,00150,P,US 95 MAIN,"US-95  5.64 Mi. S of Big Salmon Rd, Riggins",0.7,45.3423563452458,-116.349661846916
00049,95,198.09,skip,between 00150 and 00039,00049,P,US 95 MAIN,US-95  6.3 Mi. N of Salmon River Bridge,1.2,45.5216085197021,-116.305290588126
00039,95,241.448,pulled,,00039,P,US 95 MAIN,US-95  0.1 Mi. NW of Setterwin St,0.3,45.9653359194623,-116.261928606034
00139,95,271.804,skip,between 00039 and 00006,00139,P,US 95 MAIN,US-95  100 Ft. N of US-95 Bus,0.7,46.2553906655105,-116.604822562547
00006,95,297.321,pulled,,00006,P,US 95 MAIN,US-95  0.6 Mi. W of Jct US-12 (WB),0.6,46.4488186716331,-116.861176226217
00098,95,318.683,skip,between 00006 and 00124,00098,P,US 95 MAIN,US-95  0.2 Mi. S of NezPerce-Latah Line (SB),1.0,46.5411909808786,-116.948440531211
00124,95,331.749,pulled,,00124,P,US 95 MAIN,US-95  0.67 Mi. S. of Palouse River Dr.,4.0,46.7072827745972,-117.001612404398
00146,95,332.353,pulled,,00146,P,US 95 MAIN,US-95  SW corner at Palouse River Dr,1.2,46.7156230024479,-117.003419488461
00126,95,334.704,pulled,,00126,P,US 95 MAIN,US-95  0.4 Mi. N of Brent Dr,1.0,46.7486798177259,-117.001549765304
00015,95,352.199,skip,between 00126 and 00318,00015,P,US 95 MAIN,US-95  2.2 Mi. N of Jct SH-6,1.1,46.9607061571369,-116.930869999332
00318,95,404.316,pulled,,00318,W,US 95 MAIN,US-95  1.3 Mi. N of Fighting Creek Rd,1.2,47.553238463951,-116.916195006713
00181,95,410.553,skip,between 00318 and 00048,00181,P,US 95 MAIN,US-95  5.5 Mi. S of Northwest Blvd IC,1.3,47.6322339519992,-116.86831110833
00048,95,417.38,pulled,,00048,P,US 95 MAIN,US-95  100 Ft. N of Haycraft Ave,1.1,47.7029910060068,-116.791574588501
00342,95,419.762,pulled,,00342,P,US 95 MAIN,US-95 310ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ South of W. Canfield Ave.,1.1,47.737460037713,-116.792622169493
00345,95,425.1,skip,between 00342 and 00113,00345,P,US 95 MAIN,"US-95 MP 438.5, 1/2 M. south of US-53 IC (SB)",1.1,47.8094549749848,-116.788136681047
00313,95,427.255,skip,co-located with 00113,00113,P,US 95 MAIN,US-95 1.9 Mi. N of Jct SH-53,1.3,47.8419971134167,-116.767848892114
00113,95,427.311,pulled,,00113,P,US 95 MAIN,US-95  .9 Mi. N of E. Garwood Rd (NB),1.3,47.8426784209512,-116.767193698063
00021,95,429.158,skip,between 00113 and 00306,00021,P,US 95 MAIN,US-95  0.8 Mi. N of Chilco Rd IC (NB),1.3,47.8649897030044,-116.745456515878
00306,95,460.42,pulled,,00306,P,US 95 MAIN,US-95  205 Ft. S of Bridge St UP,0.8,48.2725302336304,-116.544661049052
00319,95,470.169,pulled,,00319,W,US 95 MAIN,US-95  2 Mi. S of Samuels Rd,1.2,48.4090306502297,-116.524899671642
00046,95,513.279,skip,next to 00319,00046,P,US 95 MAIN,US-95  4.4 Mi. NE of Jct SH-1,1.1,48.9456977204694,-116.302136868334
00016,,,out,no TCDS count since 2023,,P,US 95 MAIN,,,48.7274251695547,-116.302353064712
00027,,,out,daily totals only (no hourly shape),,P,SH 3 MAIN,SH-3  0.3 Mi. S of Jct SH-97,,47.3955985575834,-116.658865257963
00063,,,out,not on a state route,,P,Ski Hill RD,Ski Hill Rd  0.78 Mi. E of SH-33,,43.7229157390315,-111.095505227061
00080,,,out,not on a state route,,P,Amity RD,Eckert Rd  0.5 Mi. S of Warm Springs Ave,,43.5659625219463,-116.131582555436
