# ITD District 5 NextXDSegI repair table - derived by corridors.repair_links
# district: 5
# radius_m: 25.0
# max_bearing_delta_deg: 90.0
# require_same_bearing: True
# bearing_probe_m: 30.0
# n_segments: 4386
# n_null_next: 1102
# n_fill: 649
# n_override: 21
# ambiguous_fill: 25
# ambiguous_override: 1
# skipped_off_subset: 38
# crs: EPSG:32612
segment,old_next,new_next,kind,gap_m,bearing_delta_deg,xdgroup,road_name,lanes
117502613,,117688810,fill,0.0,0.5841304368076123,40173,E Woodruff Ln,1.0
117524502,,1187604417,fill,0.0,0.8929270484722736,40209,W Sundance Rd,1.0
117529697,,117766366,fill,1.8626815286637636e-08,0.009815282679227266,40616,Bailey Creek Rd,1.0
117534553,,119933083,fill,1.100164211619626e-07,0.525375542945909,40674,W Tyhee Rd,1.0
117541661,,117690225,fill,0.0,1.5684459180904469,40783,W 1st N,1.0
117553237,,117567942,fill,0.060131903914734934,1.255048086520702,40954,E Humbolt St,1.089
117556399,,117878741,fill,2.665281323094415,29.92007292043121,40997,E Center St,1.096
117567942,,117946216,fill,0.0,0.0576862642754179,40954,E Humbolt St,1.089
117570436,,117959037,fill,0.0,3.043764846288923,41221,W Maple St,1.0
117577143,,117948880,fill,9.313225746154785e-10,0.18552761195664402,40616,Bailey Creek Rd,1.0
117577847,,117812624,fill,0.0,0.0028042134327392887,41328,Evans Ln,1.672
117598364,,484388420,fill,8.133743258539714e-08,1.3424700617439953,41617,E 1600 N,1.0
117601291,,117757857,fill,0.0,0.2974750555376602,41660,Simplot Rd,1.253
117620556,,117831633,fill,4.65806783729758e-09,0.2353271083628954,41995,Fort Hall Ave,1.0
117639784,,448698345,fill,0.0035104480507094976,15.430085161612453,42339,W 12th St,1.0
117644240,,1030129060,fill,6.521596303630955e-09,0.8429606307934705,42428,N Meridian St,1.0
117647388,,117981056,fill,7.160148004994109e-08,0.07204611191735921,42491,W Tyhee Rd,1.0
117661092,,117904166,fill,3.729945312622364e-06,0.10978232098005947,42728,W Pocatello Creek Rd,1.0
117668854,,384163680,fill,0.050169928632460135,22.42078317539196,40997,E Center St,1.096
117669553,,117885070,fill,1.600699314976609e-05,1.277281800490499,42906,E Connor St,1.0
117673812,,117577143,fill,9.313225746154785e-10,0.5320472370679283,40616,Bailey Creek Rd,1.0
117674416,,117733872,fill,1.2413623471421713e-05,0.0597992673631893,42985,N 1st Ave,1.0
117683389,,117897632,fill,0.0,3.735073980880344,43148,W Bridge St,1.0
117685166,,384148797,fill,1.2130476534366608e-07,0.06900991071020712,41073,Agency Rd,1.0
117690225,,117709187,fill,7.773142338739663,0.40141642489604124,40783,W 1st N,1.0
117712842,,117505052,fill,0.0,14.20890399472637,40209,W Sundance Rd,1.0
117717112,,117770032,fill,2.911872780518216e-08,1.9583079156178655,42491,W Tyhee Rd,1.0
117723173,,117896239,fill,0.0,1.7474674499520972,43927,N 8th Ave,1.0
117726135,,117767126,fill,1.0814813723252652e-06,1.8278614330576204,40997,E Center St,1.096
117733868,,118113565,fill,0.040050031181168226,7.981391745467761,44128,E Benton St,1.253
117733872,,118002316,fill,2.3807426436973072e-07,0.18013391256681643,42985,N 1st Ave,1.0
117734643,,383863661,fill,0.21931993714364256,2.554651364844972,41073,Agency Rd,1.0
117735142,,117973469,fill,0.0,4.276469322652616,41356,Hiline Rd,1.0
117737866,,119019125,fill,1.9490116230807855e-07,0.20684373529820732,44202,Agency Rd,1.0
117738600,,117661092,fill,6.998054694043601e-06,2.0507572922924737,42728,W Pocatello Creek Rd,1.0
117739509,,117948206,fill,9.42964106798172e-09,0.021694709365362996,44258,Clay St,1.0
