# ITD District 2 NextXDSegI repair table - derived by corridors.repair_links
# district: 2
# radius_m: 25.0
# max_bearing_delta_deg: 90.0
# require_same_bearing: True
# bearing_probe_m: 30.0
# n_segments: 3499
# n_null_next: 691
# n_fill: 448
# n_override: 16
# ambiguous_fill: 9
# ambiguous_override: 0
# skipped_off_subset: 49
# crs: EPSG:32611
# route_junction rows (ROADMAP Item 51): extents.route_junction_repairs on ITD route
#   membership - where a route turns off INRIX's link (the link is null or leaves every
#   route the segment carries) onto a head nothing in the route links into, starting on
#   the segment's second half within 20 m, turning <= 120 deg, milepost-consistent where
#   both lie on one SHS line. These cross XDGroups, unlike fill/override.
# n_route_junction: 14
segment,old_next,new_next,kind,gap_m,bearing_delta_deg,xdgroup,road_name,lanes
124119142,,124297940,fill,2.7939677238464355e-09,0.7948288016565357,296458,5th St,1.0
124126531,,124335204,fill,0.0,6.414653509924989,303974,Mill Rd,1.0
124140238,,124216355,fill,3.8070658212142566e-08,0.5619964835715905,304915,G St,1.058
124140365,,124769348,fill,9.720679372549055e-09,0.6171445269959577,304920,E 3rd St,1.0
124150018,,386053356,fill,0.0,0.2749906176958916,305374,Snake River Grade,1.0
124150170,,448933247,fill,0.0,15.579511840077773,305375,W 6th St,1.0
124151194,,124049501,fill,1.862645149230957e-09,0.5289272173128552,299403,S Main St,1.0
124151196,,385686528,fill,0.0,2.807166765824803,296091,W Taylor Ave,1.0
124164499,,124345432,fill,0.0,0.0298866924974845,305944,Pine St,1.0
124167782,,385687305,fill,0.0288701034422,0.514301835226064,306034,Stewart Ave,1.058
124170140,,386052687,fill,0.0,0.5669077635582198,306109,11th Ave,1.024
124170153,,124202328,fill,6.257323548197746e-08,3.496408264479044,306109,11th Ave,1.024
124170158,,124197631,fill,0.0,0.6265746333141067,306112,28th St N,1.0
124173521,,124850412,fill,0.0544912058921225,4.0126668913052015,301257,Mill Rd,1.0
124175121,,124838201,fill,9.385703304198744e-10,0.1806844065369546,306260,Talmaks Rd,1.0
124175123,,124193099,fill,0.0,6.249397480444912,296458,5th St,1.0
124180151,,124679422,fill,1.862645149230957e-09,0.4942483107655846,300471,5th St,1.105
124180157,,124782385,fill,1.862645149230957e-09,1.849427705480139,297688,E 22nd St N,1.0
124183064,,124193239,fill,5.878973752260208e-09,4.474677075734974,306586,Stewart Ave,1.162
124184172,,124267169,fill,1.1393281058776883,24.04419022363956,306620,4th St,1.0
124184215,,124188599,fill,0.0,0.0617261971218567,300910,Preston Ave,1.018
124188599,,124188620,fill,1.1542954875698273e-07,0.0452155259235382,300910,Preston Ave,1.018
124188620,,124203504,fill,1.3498677846209576e-07,0.0451243205218929,300910,Preston Ave,1.018
124188626,,123934260,fill,0.0099928068872742,1.1398675568321437,296458,5th St,1.0
124188674,,124636177,fill,2.983679049460846e-07,4.384156853210754,295751,Hill St,1.0
124188715,,124222345,fill,1.920852810144424e-09,0.5642016848985918,306813,16th Ave,1.006
124193099,,124197589,fill,1.862645149230957e-09,0.3724786403516305,296458,5th St,1.0
124193113,,124323947,fill,0.0,0.2506232461454658,297985,20th St N,1.0
124193196,,124412001,fill,1.9909402659565166e-08,0.3297904750376119,304915,G St,1.058
124193243,,124712975,fill,3.899913281202316e-09,0.5636806716984779,301491,16th Ave,1.032
124194550,,124232774,fill,2.324116371304637e-07,3.406259957387704,307034,East Rd,1.0
