# ITD District 4 NextXDSegI repair table - derived by corridors.repair_links
# district: 4
# radius_m: 25.0
# max_bearing_delta_deg: 90.0
# require_same_bearing: True
# bearing_probe_m: 30.0
# n_segments: 6087
# n_null_next: 2149
# n_fill: 1545
# n_override: 30
# ambiguous_fill: 32
# ambiguous_override: 0
# skipped_off_subset: 39
# crs: EPSG:32611
# route_junction rows (ROADMAP Item 51): extents.route_junction_repairs on ITD route
#   membership - where a route turns off INRIX's link (the link is null or leaves every
#   route the segment carries) onto a head nothing in the route links into, starting on
#   the segment's second half within 20 m, turning <= 120 deg, milepost-consistent where
#   both lie on one SHS line. These cross XDGroups, unlike fill/override.
# n_route_junction: 22
segment,old_next,new_next,kind,gap_m,bearing_delta_deg,xdgroup,road_name,lanes
117502663,,117745383,fill,7.670056315445641e-06,1.5274055771475616,40175,W 300 S,1.0
117508549,,117706934,fill,9.313225746154783e-10,0.0023111298885112,40291,S F St,1.0
117509454,,117739011,fill,0.0,0.0209221227232205,40311,N Birch St,1.0
117516498,,1030232499,fill,0.0,0.3303008685007285,40417,Parke Ave,1.0
117535645,,117759086,fill,7.562458390502498e-07,1.1923588985111735,40687,Warm Springs Rd,1.0
117541512,,119602566,fill,3.645733116640789e-08,22.79707904281489,40779,Saddle Rd,1.0
117544609,,1058095974,fill,3.1432136893272404e-09,0.0166474355236232,40832,E 3800 N,1.0
117561021,,119962080,fill,6.286427378654481e-09,0.0399048535802535,41079,W Avenue D,1.0
117571446,,118020856,fill,2.684537321329117e-07,2.0480894752006407,41236,Federation Rd,1.053
117572079,,428957482,fill,0.0,1.0647603086523532,41246,N 4500 E,1.0
117576245,,119200211,fill,5.960464477539064e-08,0.3456900875491442,41306,Filer Ave E,1.0
117576994,,117825496,fill,0.0,0.9539627375191628,40177,N 3200 E,1.0
117579679,,117651632,fill,1.5609033032220238e-07,0.0369551290492609,41358,Broadway St,1.0
117581827,,1187316330,fill,7.458761557769658e-09,0.2919429592750475,41385,S 1900 E,1.0
117602304,,117765719,fill,0.0,4.158512118771739,41436,Niagra Springs Grade Rd,1.0
117603727,,117902762,fill,7.830451434160435e-07,0.5260074795460525,41704,Old Dollar Rd,1.0
117603731,,119502663,fill,3.645733116640789e-08,22.79707904281489,41705,Saddle Rd,1.0
117606560,,117720756,fill,1.6405298205326636e-07,0.0556914711783065,41306,Filer Ave E,1.0
117606591,,117660661,fill,0.0,0.1449697709544466,41748,S 100 W,1.0
117609860,,484384437,fill,9.42964106798172e-09,0.0601728873209026,41800,Federation Rd,1.0
117620604,,119517219,fill,3.888457346862151e-07,0.5810768179678689,41997,Wright Ave,1.0
117620923,,118002416,fill,0.3755732707118089,0.2077159448987799,42003,E 4000 N,1.0
117621540,,117914321,fill,0.0,0.6259775564157906,42007,N 3600 E,1.0
117622128,,117774752,fill,5.3106954947668567e-08,0.6182547231810815,40447,N 2700 E,1.0
117622268,,117697865,fill,9.313225746154783e-10,0.9998804483512912,42018,S 1350 Rd W,1.0
117623813,,118035174,fill,7.828413817233449e-06,0.2578125005338165,41246,N 4500 E,1.0
117624948,,117687857,fill,0.0,0.0264503332884942,42052,Wright Ave,1.0
117629240,,117763216,fill,1.241492481935452e-05,3.825858005709449,42143,11th Ave N,1.0
117629367,,119705284,fill,0.0,0.2285331926992739,42146,W 4th St N,1.0
117629818,,117917396,fill,0.0,0.3904520063054804,42150,S Adams St,1.0
117634153,,117764584,fill,8.549197561916503e-09,0.0276227188717825,41079,W Avenue D,1.0
117634850,,117659261,fill,0.0,1.4255955477183877,41615,S 950 E,1.0
117638533,,119571664,fill,0.0295527825969871,0.3073281638186245,42319,E 1010 S,1.0
117639020,,117928425,fill,2.585010753732887e-06,3.1484986352034525,42322,S Rail St E,1.0
117642136,,119291869,fill,5.122274160385132e-09,0.1813235547414251,42003,E 4000 N,1.0
117642740,,118018829,fill,0.0,0.1457103542389006,42399,Grandview Dr N,1.0
117647425,,117739233,fill,0.0,2.8743079149165283,42492,W 600 S,1.0
117647502,,117974488,fill,0.0,0.196720474050835,42094,E Main St,1.085
117647554,,117849130,fill,0.0,3.22752109375611,42496,Salmon River Rd,1.0
117650044,,118070219,fill,2.050099929671736e-08,0.9548292814174886,42536,N 3200 E,1.0
117652871,,117774987,fill,3.727108843992958e-09,0.9169969086773904,42583,S 100 W,1.0
117661793,,119812070,fill,1.7265396996158348e-07,2.6624751456149056,42053,W 300 S,1.0
117674004,,118060087,fill,1.862645149230957e-09,0.343783992857908,41246,N 4500 E,1.0
117679159,,117934262,fill,3.016594828435267e-08,1.7453813148494532,43087,E 3700 N,1.0
117681685,,117818298,fill,0.0047224369935518,1.7947827492966155,41385,S 1900 E,1.0
117684028,,117993077,fill,1.304383680225283e-07,1.368548729049877,43158,Lawrence Ave,1.0
117685237,,117881705,fill,5.1298884130717854e-08,0.1038560706784892,43187,Falls Ave W,1.0
117685524,,474896462,fill,0.0,0.6154177989886307,43195,N Adams St,1.0
117687198,,484389112,fill,1.907839387730504e-06,4.370835045156753,43239,E 1010 S,1.0
117687857,,118014296,fill,3.855872467123392e-07,0.5812809271045865,42052,Wright Ave,1.0
117688064,384125018,117785705,override,0.297452081836936,0.9928141411188278,42484,Hiland Ave,1.0
117688093,,117906953,fill,0.3609662230611798,0.1980952178831216,41212,Shoshone Falls Rd,1.0
117691803,,117508549,fill,0.0,0.0953744943152514,40291,S F St,1.0
117691846,,118002380,fill,0.0030089093633122,0.9386662102394894,42003,E 4000 N,1.0
117692798,,119208782,fill,0.0,0.2285331926992739,43355,W 4th St N,1.0
117693573,,383807547,fill,8.436844366817676e-06,0.2634316361071569,43364,Scott Ave,1.0
117693854,,383863218,fill,9.313225746154783e-10,0.0381967760673092,42484,Hiland Ave,1.0
117693969,,117606591,fill,0.0,0.1707915621392715,41748,S 100 W,1.0
117694868,,117840318,fill,0.0,0.4031576778523913,40311,N Birch St,1.0
117697865,,117809499,fill,0.099938642673653,1.750009639778284,42018,S 1350 Rd W,1.0
117699098,,117888125,fill,1.862645149230957e-09,1.167459760832088,41615,S 950 E,1.0
117700883,,383863382,fill,0.0,16.49519645855952,43472,N 2700 E,1.0
117700896,,119013601,fill,0.0,0.0772948939644493,40832,E 3800 N,1.0
117702895,,117761565,fill,7.118461382962373e-08,0.7863191458424694,43515,Filer Ave W,1.0
117703469,,383863238,fill,0.0,10.287976086571916,43524,7th St,1.0
117705313,,117848730,fill,6.169627654639514e-08,4.340199333412556,42692,E 990 S,1.0
117706934,,117926260,fill,0.0,0.1782544507700265,40291,S F St,1.0
117707931,,117794996,fill,1.1045992218319445e-07,0.7671590100178491,43606,E 3600 S,1.0
117711099,,484414503,fill,4.47253061279155e-08,0.0104667941347997,43501,Locust St S,1.0
117711115,,117719539,fill,0.0,0.07024821697388,40311,N Birch St,1.0
117715398,,117747889,fill,0.0,1.6917315134243722,42162,E 3200 S,1.0
117720756,,384160203,fill,0.0,0.6985389191796116,41306,Filer Ave E,1.0
117721121,,383828836,fill,4.734543981154256e-06,1.558897042557135,42692,E 990 S,1.0
117721715,,117532838,fill,0.0,2.179192642023565,40658,N 4500 E,1.0
117722302,,117794995,fill,0.158122386346968,1.7858251732315011,42007,N 3600 E,1.0
117723469,,119703339,fill,5.724003104209875e-07,0.1480776097393459,43937,E 3950 N,1.0
117728571,,117581827,fill,0.4742531176164093,0.0615402920661551,41385,S 1900 E,1.0
117729982,,117755516,fill,0.0,1.0893041201605629,44060,N 3rd Ave,1.0
117730579,,117932021,fill,0.0,0.0407752124139051,43515,Filer Ave W,1.0
117732250,,118060132,fill,4.3928084173076083e-08,0.6780150141788113,42003,E 4000 N,1.0
117734134,,117750268,fill,0.0,0.0676673995706096,42054,S 2950 E,1.0
117737630,,117715398,fill,4.528145777132458e-06,0.4982373382421201,42162,E 3200 S,1.0
117737723,,117693854,fill,0.0,0.2133706708547436,42484,Hiland Ave,1.0
117739011,,117711115,fill,9.385703304198744e-10,0.0137916286312531,40311,N Birch St,1.0
117739305,,117647502,fill,1.396316739851653e-07,0.2097932288381798,42094,E Main St,1.085
117739365,,117948157,fill,5.353953813658944e-07,0.4350081943341592,44246,E 420 N,1.0
117741089,,117860428,fill,0.0,0.4579137513392197,43524,7th St,1.0
117742624,,117830485,fill,0.0,0.3532286148899857,44316,F St,1.0
117744898,,448691195,fill,0.0111628934567504,0.2156081569726211,44369,Valley Rd,1.0
117745372,,117932486,fill,9.39293905823486e-07,0.1941707862965529,43364,Scott Ave,1.0
117745382,,383863269,fill,0.0,1.352676256049392,40175,W 300 S,1.0
117747610,,120075778,fill,5.009323026227273e-08,0.2126228997297516,44427,E Avenue D,1.0
117747611,,117969764,fill,3.278285227792506e-09,0.052936970191979,44428,Glen Eagle Dr,1.0
117747613,,119732403,fill,1.2456439435482023e-08,0.0421471729522977,44429,W Avenue D,1.0
117750268,,118116449,fill,5.592783982616064e-09,0.0997911220095488,42054,S 2950 E,1.0
117750381,,474859406,fill,6.523414387424431e-09,0.1610622417090894,44491,S 100 E,1.0
117751470,,117973335,fill,0.0,2.526045479895032,44523,N 3100 E,1.0
117751892,,117569771,fill,0.0,2.319133185064913,41214,S 1950 E,1.0
117752231,,117752233,fill,1.862645149230957e-09,0.0288813889184496,44553,Jefferson St,1.0
117752836,,117853611,fill,0.0,0.1311586349332287,44579,E 3300 N,1.0
117753593,,117748342,fill,0.0,0.1340847033838201,44452,W Sun Valley Rd,1.0
117753781,,117850028,fill,0.0,0.0429890302415856,41246,N 4500 E,1.0
117755516,,118160898,fill,4.1197358316928016e-06,1.0094689735784357,44060,N 3rd Ave,1.0
117759086,,117905223,fill,2.103114560379708e-07,28.01908530937851,40687,Warm Springs Rd,1.0
117759643,,384139507,fill,0.040078686621642,18.4992522591636,44754,Bridgeview Blvd,1.0
117761565,,117944203,fill,1.0360963642597198e-08,6.72785218460001,43515,Filer Ave W,1.0
117762196,,117693573,fill,9.313471056200593e-06,2.1566829614231158,43364,Scott Ave,1.0
117762262,,117938787,fill,6.624765556115097e-07,0.0526332803877096,43614,Sun Valley Rd,1.0
117763216,,117887378,fill,0.0,0.1268111571904455,42143,11th Ave N,1.0
117763232,,119137824,fill,2.5098506225296242e-08,1.1160126156145225,44818,E 4000 N,1.0
